-2031118.665429863,-303059.41230652435,play 
2578350.023221453,293142.9602771737,dur 
-1381537.3173329444,3201054.335390293,hi 
2987065.1584057026,379558.59010653367,big 
-1486513.5160260058,-1157663.491552014,year 
-3670612.445190832,-916564.0603454297,ago 
-316193.75144226605,-2904311.739938352,american 
-976914.6564134379,2827722.8190921172,program 
1352120.131877392,2922378.576825542,three 
3310468.611530171,-810602.8826527952,music 
3503373.463075111,1011947.0532820778,children 
-2091880.8150302516,3201760.3647953533,four 
2608969.86912024,-837889.224275329,season 
-2652006.846126053,-348034.4631921183,state 
783916.4850836471,-1816981.6645368368,case 
1816838.9073332266,1965622.5418719947,still 
2216211.7549756193,-1300715.8560236024,$ 
3102557.818639238,722777.7198224019,STOP 
-2358057.5909682596,-674140.7109164756,made 
2779130.5364967473,-2867418.635560073,work 
-1662150.768577803,2412519.8984105727,old 
1693321.5069798254,2197953.0626560044,director 
-1559489.1208634328,2807088.3811140386,' 
-1230389.002487274,2700054.475093124,want 
-476796.51950143685,-2940849.7014212715,night 
-1414515.5112386202,2588804.944153822,) 
1327186.443783567,-1924641.6182345268,come 
-2170341.367197742,1535555.5373261701,court 
-2127209.7372964537,-1002033.3795295825,former 
-1556991.9515266786,-85470.08691290532,million 
-2121128.1732150805,1679212.8187287622,even 
-2051592.0376498755,-1397731.1251814151,left 
-1648036.641286538,1041884.2980881922,among 
1916123.3743313616,51184.94081951886,john 
3024060.854191912,2647060.7876208867,doe 
-2952989.9905896652,-929709.7882682796,much 
1959740.3769116946,2737481.583457078,women 
628634.2106879662,2506769.697667138,city 
-1373138.9021116872,-2459763.6619101833,another 
2038533.4517718481,678579.3245201004,two 
1124512.2203562215,1945225.7150757145,long 
-3889037.6069082366,-523657.8508832492,see 
-1644812.0415804214,-318893.1215526992,government 
-3713570.8938530968,291769.63107454777,found 
2597960.680179176,-2494645.5275239195,world 
-2290881.13417839,-1517496.6638275678,get 
-3106298.8713687737,-247752.6203845713,member 
2923589.5938382805,1087525.7702857058,federal 
-1100534.0723938076,-3158069.411461434,national 
2133351.896908303,-1300421.2266435355,man 
-248293.8246392345,-1769595.6625069727,place 
-1364161.496569703,1607593.9034893366,think 
2418346.1023315927,287051.6788753757,set 
-2469066.1000466044,1348107.4556277534,may 
-3302406.088250628,1412984.8105884842,business 
428045.4036045233,-2666231.857955719,though 
1701283.0127689973,-721357.3811595071,one 
815238.0499203078,673424.1496512267,right 
1041414.080394876,-1696610.9749054336,team 
1136393.5556625228,-2243486.3149797204,many 
-2774048.956671645,1954614.8680777347,people 
640137.3813647729,3276933.435735358,call 
-2216564.056084746,2725781.0747746173,police 
2635581.47074436,962810.0665605974,thi 
2354788.9444192788,-147359.58710601414,u 
-1432064.975949028,1349820.8265077274,first 
2813090.6598464823,542113.1552444106,country 
-97650.41240931599,-3052931.3716611536,use 
-1847615.0289559837,-1431629.1729869514,several 
1467941.0007512565,-1978923.3206727917,political 
-1549551.1431547327,-3217606.1622280534,official 
-2578156.909664727,-1403176.7435314297,office 
2212745.7948965193,1774454.6939104754,good 
-1902721.612824558,-1330005.892586442,second 
3026481.433725679,2473606.9491515043,high 
318963.34078777465,-2718272.2974708276,white 
1354864.2003658116,-2982376.403419592,school 
-1230055.5420458745,-2669399.048289249,west 
-1984490.4996336221,2573507.4938989272,day 
1470474.1843347938,1753140.5825309837,five 
-350527.71470400493,2620478.7690670765,us 
1999275.8002268488,-1495721.5160708418,group 
-149806.34023072556,2991712.3428789265,-- 
7389.678670868835,1202343.4823657088,new 
-1000807.9150430342,-1347476.5797251677,law 
-458906.16732241417,-2932716.8553618,last 
-1227145.5980485028,625293.9352909233,like 
-153491.67443245606,514406.5440265807,mr 
-3062447.3968914007,-1390724.5230129508,might 
-2807104.2229926432,1372566.036006658,ms 
-2651247.6725957952,-346917.55390742497,less 
349400.0479690344,1661003.7511498951,market 
2460561.697425684,1231333.839733734,never 
-1774232.0969591865,259924.26496841636,unit 
-2447170.7397716106,322527.41373603855,fami 
1344700.260168963,901243.9601893714,know 
2361914.3684895546,-830262.6373276105,little 
-1841377.9534262307,-1447710.292517819,since 
946239.0042398808,-187588.81395475325,next 
-1634882.541635911,-2018539.437362683,game 
1200222.1498740227,-2025756.9304574302,week 
2243186.899722015,-1774151.7799686803,nt 
-2856624.322210181,1020494.8362028293,university 
1576146.0238657673,2304883.29841666,part 
803126.8687864239,-191173.7270410168,show 
-1228572.5567705373,-3048734.5013333983,back 
451609.73761468177,-2197629.0391931287,wa 
2527400.038339046,-1919968.5681926971,best 
585550.5270359832,-41749.68937558809,around 
-2443375.29158247,489853.4248988628,house 
2365472.711327011,177962.55637361787,percent 
1066104.8074467867,-1997457.5438380085,life 
1895951.0001657596,779151.0087388427,yesterday 
-2868118.821603263,284410.319666632,can 
1631012.654915235,734622.8514084065,general 
2705473.5937659983,-2473849.361039188,UNK 
231353.62161251536,2975853.8611286306,public 
1612230.5237843546,1203205.6374714614,street 
-683067.8070387201,1641987.0591762692,now 
-208195.41303055084,2139641.3212354407,today 
1774448.9207011852,-2160928.0016535018,companie 
-1797889.1658933444,-2340868.2691849386,end 
-2838178.247113177,-743745.9805268641,company 
-1804226.0778447266,-1644856.3976117352,said 
-939792.7613871743,2237547.8107221173,department 
1439988.209203607,-2475278.6979965577,just 
3168760.5391397327,1367381.4160664119,make 
401815.9474694581,3064170.0393705987,every 
985903.4999938367,-1298693.786663232,center 
-776782.9839150365,2932317.1204938362,go 
-1986528.5301576299,-1517848.3186257896,war 
-2428553.3095626445,345323.01483796857,say 
